p,q,n,method,eMaxHammingScore
0.7,0.1,1000,gpb,29.686993540387757
0.7,0.1,10000,gpb,31.40918250684227
0.8,0.1,1,gpb,16.37999999999999
0.8,0.1,5,gpb,19.19056544983614
0.8,0.1,10,gpb,20.154460719298438
0.8,0.1,100,gpb,22.75848940458405
0.8,0.1,1000,gpb,24.835234241414838
0.8,0.1,10000,gpb,26.623470828549202
0.9,0.1,1,gpb,11.33999999999999
0.9,0.1,5,gpb,14.171079577623873
0.9,0.1,10,gpb,15.155252952529162
0.9,0.1,100,gpb,17.829343240304674
0.9,0.1,1000,gpb,19.971576133079743
0.9,0.1,10000,gpb,21.820563301685993
1,0.1,1,gpb,6.299999999999997
1,0.1,5,gpb,9.151198252153598
1,0.1,10,gpb,10.154718073047206
1,0.1,100,gpb,12.894614499182694
1,0.1,1000,gpb,15.097928295276489
1,0.1,10000,gpb,17.003332765044625
0.5,0.2,1,gpb,31.499999999999996
0.5,0.2,5,gpb,35.17683596927656
0.5,0.2,10,gpb,36.365497827620075
0.5,0.2,100,gpb,39.43256215540975
0.5,0.2,1000,gpb,41.75666201694122
0.5,0.2,10000,gpb,43.68704440046113
0.6,0.2,1,gpb,27.72
0.6,0.2,5,gpb,31.413016650191036
0.6,0.2,10,gpb,32.61982614583163
0.6,0.2,100,gpb,35.75905714447316
0.6,0.2,1000,gpb,38.1592009852145
0.6,0.2,10000,gpb,40.16518393861108
0.7,0.2,1,gpb,23.940000000000005
0.7,0.2,5,gpb,27.649029474806934
0.7,0.2,10,gpb,28.87341874217511
0.7,0.2,100,gpb,32.08081744388471
0.7,0.2,1000,gpb,34.55125853157722
0.7,0.2,10000,gpb,36.62626928517305
0.8,0.2,1,gpb,20.159999999999997
0.8,0.2,5,gpb,23.88487477725826
0.8,0.2,10,gpb,25.126309086837253
0.8,0.2,100,gpb,28.398382885894314
0.8,0.2,1000,gpb,30.934363885614097
0.8,0.2,10000,gpb,33.073114519309286
0.9,0.2,1,gpb,16.37999999999999
0.9,0.2,5,gpb,20.12055333523844
0.9,0.2,10,gpb,21.378529406401302
0.9,0.2,100,gpb,24.712199338185968
0.9,0.2,1000,gpb,27.309705834818338
0.9,0.2,10000,gpb,29.50783262599594
1,0.2,1,gpb,12.600000000000001
1,0.2,5,gpb,16.356066323878196
1,0.2,10,gpb,17.630110505140294
1,0.2,100,gpb,21.022639730874154
1,0.2,1000,gpb,23.678231702017982
1,0.2,10000,gpb,25.932090219468712
0.5,0.30000000000000004,1,gpb,31.499999999999986
0.5,0.30000000000000004,5,gpb,35.71749470422618
0.5,0.30000000000000004,10,gpb,37.077117999309316
0.5,0.30000000000000004,100,gpb,40.56240449507865
0.5,0.30000000000000004,1000,gpb,43.173335412081386
0.5,0.30000000000000004,10000,gpb,45.3177592716452
0.6,0.30000000000000004,1,gpb,28.980000000000008
0.6,0.30000000000000004,5,gpb,33.2082652172747
0.6,0.30000000000000004,10,gpb,34.58008056749598
0.6,0.30000000000000004,100,gpb,38.11504881080653
0.6,0.30000000000000004,1000,gpb,40.780203237312406
0.6,0.30000000000000004,10000,gpb,42.9801857229513
0.7,0.30000000000000004,1,gpb,26.460000000000008
0.7,0.30000000000000004,5,gpb,30.698971587973496
0.7,0.30000000000000004,10,gpb,32.082754759596014
0.7,0.30000000000000004,100,gpb,35.66568672505929
0.7,0.30000000000000004,1000,gpb,38.38233010104615
0.7,0.30000000000000004,10000,gpb,40.634472288921145
0.8,0.30000000000000004,1,gpb,23.94
0.8,0.30000000000000004,5,gpb,28.18961381578829
0.8,0.30000000000000004,10,gpb,29.585148050412265
0.8,0.30000000000000004,100,gpb,33.21446357156071
0.8,0.30000000000000004,1000,gpb,35.98018408103595
0.8,0.30000000000000004,10000,gpb,38.28156988555507
0.9,0.30000000000000004,1,gpb,21.41999999999999
0.9,0.30000000000000004,5,gpb,25.68019196025865
0.9,0.30000000000000004,10,gpb,27.087267794857134
0.9,0.30000000000000004,100,gpb,30.761508444320874
0.9,0.30000000000000004,1000,gpb,33.57416083643936
0.9,0.30000000000000004,10000,gpb,35.92225620926911
1,0.30000000000000004,1,gpb,18.900000000000006
1,0.30000000000000004,5,gpb,23.170706138209248
1,0.30000000000000004,10,gpb,24.589121207224593
1,0.30000000000000004,100,gpb,28.306936528613534
1,0.30000000000000004,1000,gpb,31.164595865973055
1,0.30000000000000004,10000,gpb,33.55716259353843
0.5,0.4,1,gpb,31.499999999999993
0.5,0.4,5,gpb,36.01089026150932
0.5,0.4,10,gpb,37.4634770761039
0.5,0.4,100,gpb,41.177094845616494
0.5,0.4,1000,gpb,43.945297921231216
0.5,0.4,10000,gpb,46.20702172147561
0.6,0.4,1,gpb,30.240000000000006
0.6,0.4,5,gpb,34.75627609310078
0.6,0.4,10,gpb,36.21499144845585
0.6,0.4,100,gpb,39.95389224546851
0.6,0.4,1000,gpb,42.75019561059975
0.6,0.4,10000,gpb,45.0412023206079
0.7,0.4,1,gpb,28.98
0.7,0.4,5,gpb,33.50164701976293
0.7,0.4,10,gpb,34.96643769469229
0.7,0.4,100,gpb,38.7301936337621
0.7,0.4,1000,gpb,41.553875226368525
0.7,0.4,10000,gpb,43.87321999251
0.8,0.4,1,gpb,27.720000000000002
0.8,0.4,5,gpb,32.24700303575429
0.8,0.4,10,gpb,33.71781663090046
0.8,0.4,100,gpb,37.50601688110949
0.8,0.4,1000,gpb,40.35639927534276
0.8,0.4,10000,gpb,42.70321062413085
0.9,0.4,1,gpb,26.460000000000004
0.9,0.4,5,gpb,30.992344138482117
0.9,0.4,10,gpb,32.46912906864354
0.9,0.4,100,gpb,36.28137885584361
0.9,0.4,1000,gpb,39.1578251001491
0.9,0.4,10000,gpb,41.53129679322947
1,0.4,1,gpb,25.200000000000003
1,0.4,5,gpb,29.737670328449028
1,0.4,10,gpb,31.220375814344052
1,0.4,100,gpb,35.05629549394865
1,0.4,1000,gpb,37.958205204720485
1,0.4,10000,gpb,40.357609329612316
0.5,0.5,1,gpb,31.5
0.5,0.5,5,gpb,36.10453608816432
0.5,0.5,10,gpb,37.586817016942476
0.5,0.5,100,gpb,41.37348045447272
0.5,0.5,1000,gpb,44.19209092555395
0.5,0.5,10000,gpb,46.491389439096146
0.6,0.5,1,gpb,31.50000000000001
0.6,0.5,5,gpb,36.104536088164345
0.6,0.5,10,gpb,37.586817016942504
0.6,0.5,100,gpb,41.37348045447274
0.6,0.5,1000,gpb,44.19209092555391
0.6,0.5,10000,gpb,46.491389439096146
0.7,0.5,1,gpb,31.499999999999996
0.7,0.5,5,gpb,36.10453608816434
0.7,0.5,10,gpb,37.58681701694249
0.7,0.5,100,gpb,41.373480454472734
0.7,0.5,1000,gpb,44.19209092555392
0.7,0.5,10000,gpb,46.491389439096146
0.8,0.5,1,gpb,31.5
0.8,0.5,5,gpb,36.10453608816434
0.8,0.5,10,gpb,37.58681701694249
0.8,0.5,100,gpb,41.37348045447274
0.8,0.5,1000,gpb,44.19209092555391
0.8,0.5,10000,gpb,46.491389439096146
0.9,0.5,1,gpb,31.500000000000004
0.9,0.5,5,gpb,36.10453608816433
0.9,0.5,10,gpb,37.5868170169425
0.9,0.5,100,gpb,41.37348045447274
0.9,0.5,1000,gpb,44.19209092555391
0.9,0.5,10000,gpb,46.49138943909616
1,0.5,1,gpb,31.5
1,0.5,5,gpb,36.10453608816432
1,0.5,10,gpb,37.58681701694249
1,0.5,100,gpb,41.37348045447274
1,0.5,1000,gpb,44.19209092555391
1,0.5,10000,gpb,46.49138943909615
0.5,0.6000000000000001,1,gpb,31.49999999999999
0.5,0.6000000000000001,5,gpb,36.01089026150934
0.5,0.6000000000000001,10,gpb,37.46347707610392
0.5,0.6000000000000001,100,gpb,41.17709484561663
0.5,0.6000000000000001,1000,gpb,43.94529792123243
0.5,0.6000000000000001,10000,gpb,46.20702172148648
0.6,0.6000000000000001,1,gpb,32.76000000000002
0.6,0.6000000000000001,5,gpb,37.26548953392768
0.6,0.6000000000000001,10,gpb,38.71189375768597
0.6,0.6000000000000001,100,gpb,42.3997824831236
0.6,0.6000000000000001,1000,gpb,45.13911383130744
0.6,0.6000000000000001,10000,gpb,47.37052626607493
0.7,0.6000000000000001,1,gpb,34.02000000000002
0.7,0.6000000000000001,5,gpb,38.52007392253655
0.7,0.6000000000000001,10,gpb,39.96024067009256
0.7,0.6000000000000001,100,gpb,43.62193504130477
0.7,0.6000000000000001,1000,gpb,46.33156842305633
0.7,0.6000000000000001,10000,gpb,48.53154520052078
0.8,0.6000000000000001,1,gpb,35.28
0.8,0.6000000000000001,5,gpb,39.77464344279743
0.8,0.6000000000000001,10,gpb,41.208516987802525
0.8,0.6000000000000001,100,gpb,44.84353114525483
0.8,0.6000000000000001,1000,gpb,47.52257928246955
0.8,0.6000000000000001,10000,gpb,49.689885584363125
0.9,0.6000000000000001,1,gpb,36.540000000000006
0.9,0.6000000000000001,5,gpb,41.02919811348639
0.9,0.6000000000000001,10,gpb,42.45672188367119
0.9,0.6000000000000001,100,gpb,46.06454806118237
0.9,0.6000000000000001,1000,gpb,48.71205535340707
0.9,0.6000000000000001,10000,gpb,50.84532943032722
1,0.6000000000000001,1,gpb,37.80000000000001
1,0.6000000000000001,5,gpb,42.28373795672222
1,0.6000000000000001,10,gpb,43.70485452975755
1,0.6000000000000001,100,gpb,47.28496159027693
1,0.6000000000000001,1000,gpb,49.89989010616051
1,0.6000000000000001,10000,gpb,51.99771826940656
0.5,0.7000000000000001,1,gpb,31.499999999999996
0.5,0.7000000000000001,5,gpb,35.71749470422619
0.5,0.7000000000000001,10,gpb,37.07711799930931
0.5,0.7000000000000001,100,gpb,40.56240449507852
0.5,0.7000000000000001,1000,gpb,43.17333541208032
0.5,0.7000000000000001,10000,gpb,45.31775927163591
0.6,0.7000000000000001,1,gpb,34.019999999999996
0.6,0.7000000000000001,5,gpb,38.22666011187693
0.6,0.7000000000000001,10,gpb,39.57385948518329
0.6,0.7000000000000001,100,gpb,43.007589410454315
0.6,0.7000000000000001,1000,gpb,45.56116628468547
0.6,0.7000000000000001,10000,gpb,47.64600906444249
0.7,0.7000000000000001,1,gpb,36.540000000000006
0.7,0.7000000000000001,5,gpb,40.735761567820035
0.7,0.7000000000000001,10,gpb,42.07029738919998
0.7,0.7000000000000001,100,gpb,45.45041679655597
0.7,0.7000000000000001,1000,gpb,47.94301603221635
0.7,0.7000000000000001,10000,gpb,49.963429279735
0.8,0.7000000000000001,1,gpb,39.06
0.8,0.7000000000000001,5,gpb,43.244799265755
0.8,0.7000000000000001,10,gpb,44.56642404235817
0.8,0.7000000000000001,100,gpb,47.890673464832
0.8,0.7000000000000001,1000,gpb,50.318047293757715
0.8,0.7000000000000001,10000,gpb,52.26805459829503
0.9,0.7000000000000001,1,gpb,41.580000000000005
0.9,0.7000000000000001,5,gpb,45.75377346653892
0.9,0.7000000000000001,10,gpb,47.06223177920586
0.9,0.7000000000000001,100,gpb,50.32811496592402
0.9,0.7000000000000001,1000,gpb,52.68521089602601
0.9,0.7000000000000001,10000,gpb,54.55723841023271
1,0.7000000000000001,1,gpb,44.1
1,0.7000000000000001,5,gpb,48.26268449869592
1,0.7000000000000001,10,gpb,49.55771297756975
1,0.7000000000000001,100,gpb,52.76245988989553
1,0.7000000000000001,1000,gpb,55.043198233849296
1,0.7000000000000001,10000,gpb,56.82734304165896
0.5,0.8,1,gpb,31.499999999999993
0.5,0.8,5,gpb,35.176835969276574
0.5,0.8,10,gpb,36.36549782762006
0.5,0.8,100,gpb,39.432562155409684
0.5,0.8,1000,gpb,41.75666201694064
0.5,0.8,10000,gpb,43.68704440045565
0.6,0.8,1,gpb,35.28
0.6,0.8,5,gpb,38.94048758172008
0.6,0.8,10,gpb,40.11039934665396
0.6,0.8,100,gpb,43.100669895763794
0.6,0.8,1000,gpb,45.34161715245931
0.6,0.8,10000,gpb,47.18795464880851
0.7,0.8,1,gpb,39.06000000000001
0.7,0.8,5,gpb,42.70397215229978
0.7,0.8,10,gpb,43.854495668133865
0.7,0.8,100,gpb,46.762555150739516
0.7,0.8,1000,gpb,48.91128890591129
0.7,0.8,10000,gpb,50.662237766864244
0.8,0.8,1,gpb,42.84
0.8,0.8,5,gpb,46.467290880743946
0.8,0.8,10,gpb,47.59775164209517
0.8,0.8,100,gpb,50.41717465714419
0.8,0.8,1000,gpb,52.46169146795378
0.8,0.8,10000,gpb,54.101019883558045
0.9,0.8,1,gpb,46.620000000000005
0.9,0.8,5,gpb,50.230445508315704
0.9,0.8,10,gpb,51.34013256653816
0.9,0.8,100,gpb,54.06319077624709
0.9,0.8,1000,gpb,55.9867711216484
0.9,0.8,10000,gpb,57.4889514011725
1,0.8,1,gpb,50.4
1,0.8,5,gpb,53.9934383105802
1,0.8,10,gpb,55.08160480184959
1,0.8,100,gpb,57.698867840774795
1,0.8,1000,gpb,59.477079343416776
1,0.8,10000,gpb,60.791917854556026
0.5,0.9,1,gpb,31.499999999999993
0.5,0.9,5,gpb,34.24656138263704
0.5,0.9,10,gpb,35.14286732129043
0.5,0.9,100,gpb,37.502050088153666
0.5,0.9,1000,gpb,39.3439015270542
0.5,0.9,10000,gpb,40.91202491270641
0.6,0.9,1,gpb,36.540000000000006
0.6,0.9,5,gpb,39.264391034208124
0.6,0.9,10,gpb,40.135443168792854
0.6,0.9,100,gpb,42.396543798243826
0.6,0.9,1000,gpb,44.14041594290866
0.6,0.9,10000,gpb,45.615293797085805
0.7,0.9,1,gpb,41.58
0.7,0.9,5,gpb,44.28180535028864
0.7,0.9,10,gpb,45.12596815074369
0.7,0.9,100,gpb,47.27651172609782
0.7,0.9,1000,gpb,48.90564835771438
0.7,0.9,10000,gpb,50.26970573174969
0.8,0.9,1,gpb,46.620000000000005
0.8,0.9,5,gpb,49.298812904221684
0.8,0.9,10,gpb,50.114276552440415
0.8,0.9,100,gpb,52.137014611145226
0.8,0.9,1000,gpb,53.62464776042188
0.8,0.9,10000,gpb,54.8483672059575
0.9,0.9,1,gpb,51.660000000000004
0.9,0.9,5,gpb,54.31542692307552
0.9,0.9,10,gpb,55.100215041543436
0.9,0.9,100,gpb,56.96983804932813
0.9,0.9,1000,gpb,58.264035203966415
0.9,0.9,10000,gpb,59.28280275453925
1,0.9,1,gpb,56.7
1,0.9,5,gpb,59.33166469117411
1,0.9,10,gpb,60.08365306645299
1,0.9,100,gpb,61.76055433426168
1,0.9,1000,gpb,62.730390524810105
1,0.9,10000,gpb,62.999997972674976
0.5,1,1,gpb,31.499999999999996
0.5,1,5,gpb,31.499999999999996
0.5,1,10,gpb,31.499999999999996
0.5,1,100,gpb,31.499999999999996
0.5,1,1000,gpb,31.499999999999996
0.5,1,10000,gpb,31.499999999999996
0.6,1,1,gpb,37.8
0.6,1,5,gpb,37.8
0.6,1,10,gpb,37.8
0.6,1,100,gpb,37.8
0.6,1,1000,gpb,37.8
0.6,1,10000,gpb,37.8
0.7,1,1,gpb,44.10000000000001
0.7,1,5,gpb,44.10000000000001
0.7,1,10,gpb,44.10000000000001
0.7,1,100,gpb,44.10000000000001
0.7,1,1000,gpb,44.10000000000001
0.7,1,10000,gpb,44.10000000000001
0.8,1,1,gpb,50.39999999999999
0.8,1,5,gpb,50.39999999999999
0.8,1,10,gpb,50.39999999999999
0.8,1,100,gpb,50.39999999999999
0.8,1,1000,gpb,50.39999999999999
0.8,1,10000,gpb,50.39999999999999
0.9,1,1,gpb,56.7
0.9,1,5,gpb,56.7
0.9,1,10,gpb,56.7
0.9,1,100,gpb,56.7
0.9,1,1000,gpb,56.7
0.9,1,10000,gpb,56.7
1,1,1,gpb,63
1,1,5,gpb,63
1,1,10,gpb,63
1,1,100,gpb,63
1,1,1000,gpb,63
1,1,10000,gpb,63
0.5,0,1,combinatorics,31.49999999999999
0.5,0,5,combinatorics,31.49999999999999
0.5,0,10,combinatorics,31.49999999999999
0.5,0,100,combinatorics,31.49999999999999
0.5,0,1000,combinatorics,31.49999999999999
0.5,0,10000,combinatorics,31.49999999999999
0.6,0,1,combinatorics,25.200000000000014
0.6,0,5,combinatorics,25.200000000000014
0.6,0,10,combinatorics,25.200000000000014
0.6,0,100,combinatorics,25.200000000000014
0.6,0,1000,combinatorics,25.200000000000014
0.6,0,10000,combinatorics,25.200000000000014
0.7,0,1,combinatorics,18.900000000000002
0.7,0,5,combinatorics,18.900000000000002
0.7,0,10,combinatorics,18.900000000000002
0.7,0,100,combinatorics,18.900000000000002
0.7,0,1000,combinatorics,18.900000000000002
0.7,0,10000,combinatorics,18.900000000000002
0.8,0,1,combinatorics,12.59999999999999
0.8,0,5,combinatorics,12.59999999999999
0.8,0,10,combinatorics,12.59999999999999
0.8,0,100,combinatorics,12.59999999999999
0.8,0,1000,combinatorics,12.59999999999999
0.8,0,10000,combinatorics,12.59999999999999
0.9,0,1,combinatorics,6.300000000000008
0.9,0,5,combinatorics,6.300000000000008
0.9,0,10,combinatorics,6.300000000000008
0.9,0,100,combinatorics,6.300000000000008
0.9,0,1000,combinatorics,6.300000000000008
0.9,0,10000,combinatorics,6.300000000000008
1,0,1,combinatorics,0
1,0,5,combinatorics,0
1,0,10,combinatorics,0
1,0,100,combinatorics,0
1,0,1000,combinatorics,0
1,0,10000,combinatorics,0
0.5,0.1,1,combinatorics,31.5
0.5,0.1,5,combinatorics,34.24656138263707
0.5,0.1,10,combinatorics,35.14286732129054
0.5,0.1,100,combinatorics,37.50205008815438
0.5,0.1,1000,combinatorics,39.34390152706075
0.5,0.1,10000,combinatorics,40.912024912766896
0.6,0.1,1,combinatorics,26.460000000000008
0.6,0.1,5,combinatorics,29.228312674780042
0.6,0.1,10,combinatorics,30.148407518407943
0.6,0.1,100,combinatorics,32.596200908494296
0.6,0.1,1000,combinatorics,34.52437507766817
0.6,0.1,10000,combinatorics,36.17386407431063
0.7,0.1,1,combinatorics,21.420000000000023
0.7,0.1,5,combinatorics,24.209645769753728
0.7,0.1,10,combinatorics,25.152223064034743
0.7,0.1,100,combinatorics,27.681162271895886
0.7,0.1,1000,combinatorics,29.686993540393743
0.7,0.1,10000,combinatorics,31.409182506898325
0.8,0.1,1,combinatorics,16.38
0.8,0.1,5,combinatorics,19.190565449836186
0.8,0.1,10,combinatorics,20.15446071929852
0.8,0.1,100,combinatorics,22.758489404584882
0.8,0.1,1000,combinatorics,24.835234241422643
0.8,0.1,10000,combinatorics,26.62347082862254
0.9,0.1,1,combinatorics,11.33999999999999
0.9,0.1,5,combinatorics,14.171079577623923
0.9,0.1,10,combinatorics,15.155252952529198
0.9,0.1,100,combinatorics,17.829343240305228
0.9,0.1,1000,combinatorics,19.97157613308525
0.9,0.1,10000,combinatorics,21.82056330173812
1,0.1,1,combinatorics,6.299999999999997
1,0.1,5,combinatorics,9.151198252153591
