eMaxScore,n,score_method,p1,p2,p3,p4,p5,p6,q1,q2,q3,q4,q5,q6
31.499999999999982,1,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,5,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,10,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,100,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,1000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,10000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,1,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,5,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,10,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,100,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,1000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
31.499999999999982,10000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
25.200000000000045,1,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,5,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,10,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,100,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,1000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,10000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,1,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,5,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,10,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,100,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,1000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
25.200000000000045,10000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0
18.90000000000004,1,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,5,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,10,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,100,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,1000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,10000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,1,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,5,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,10,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,100,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,1000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
18.90000000000004,10000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
12.60000000000008,1,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,5,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,10,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,100,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,1000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,10000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,1,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,5,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,10,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,100,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,1000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
12.60000000000008,10000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0
6.300000000000082,1,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,5,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,10,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,100,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,1000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,10000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,1,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,5,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,10,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,100,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,1000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
6.300000000000082,10000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0
0,1,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,5,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,10,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,100,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,1000,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,10000,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,1,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,5,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,10,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,100,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,1000,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
0,10000,Hamming,1,1,1,1,1,1,0,0,0,0,0,0
31.499999999999957,1,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
34.24656138263702,5,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
35.14286732129044,10,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
37.50205008815384,100,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
39.34390152705602,1000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
40.91202491272339,10000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
31.499999999999957,1,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
34.24656138263702,5,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
35.14286732129044,10,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
37.50205008815384,100,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
39.34390152705602,1000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
40.91202491272339,10000,Hamming,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1
26.46000000000005,1,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
29.228312674780035,5,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
30.148407518407915,10,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
32.59620090849372,100,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
34.524375077662526,1000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
36.17386407425777,10000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
26.46000000000005,1,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
29.228312674780035,5,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
30.148407518407915,10,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
32.59620090849372,100,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
34.524375077662526,1000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
36.17386407425777,10000,Hamming,0.6,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
21.42000000000005,1,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
24.20964576975372,5,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
25.15222306403469,10,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
27.681162271895175,100,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
29.68699354038688,1000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
31.40918250683395,10000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
21.42000000000005,1,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
24.20964576975372,5,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
25.15222306403469,10,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
27.681162271895175,100,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
29.68699354038688,1000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
31.40918250683395,10000,Hamming,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1
16.38000000000008,1,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
19.1905654498362,5,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
20.154460719298484,10,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
22.758489404583912,100,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
24.835234241413023,1000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
26.62347082853178,10000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
16.38000000000008,1,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
19.1905654498362,5,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
20.154460719298484,10,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
22.758489404583912,100,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
24.835234241413023,1000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
26.62347082853178,10000,Hamming,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
11.340000000000082,1,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
14.171079577623942,5,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
15.155252952529189,10,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
17.82934324030444,100,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
19.97157613307718,1000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
21.8205633016614,10000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
11.340000000000082,1,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
14.171079577623942,5,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
15.155252952529189,10,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
17.82934324030444,100,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
19.97157613307718,1000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
21.8205633016614,10000,Hamming,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1
6.300000000000004,1,Hamming,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1
9.151198252153591,5,Hamming,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1
10.154718073047206,10,Hamming,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1
12.894614499182694,100,Hamming,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1
15.097928295276487,1000,Hamming,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1
17.003332765044625,10000,Hamming,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1
6.300000000000004,1,Hamming,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1
